prompt_id,category,removed,n_tokens,n_words,len_ratio,stopped_early,divergence_tok,diverged,prefix_frac,uni_f1,big_f1,distinct_1,distinct_2,distinct_3,loop_onset,looped_frac,ttr,mean_sent_len,py_parse_frac
explain_01,explain,1,1024,855,1.0,0.0,8,1.0,0.0078125,0.61328125,0.4467253176930596,0.1728515625,0.33724340175953077,0.4178082191780822,380,0.8125,0.19298245614035087,18.19148936170213,
explain_01,explain,2,1024,876,1.0,0.0,51,1.0,0.0498046875,0.939453125,0.9042033235581622,0.1005859375,0.198435972629521,0.23874755381604695,328,1.0,0.11073059360730593,21.9,
explain_01,explain,3,1024,855,1.0,0.0,231,1.0,0.2255859375,0.9970703125,0.9941348973607038,0.1005859375,0.19452590420332355,0.23483365949119372,323,1.0,0.11345029239766082,20.853658536585368,
explain_02,explain,0,1024,846,1.0,0.0,0,0.0,1.0,1.0,1.0,0.3017578125,0.6226783968719453,0.7690802348336595,784,0.2431640625,0.3203309692671395,22.864864864864863,
explain_02,explain,1,1024,791,1.0,0.0,286,1.0,0.279296875,0.705078125,0.520039100684262,0.1796875,0.3548387096774194,0.4207436399217221,483,0.966796875,0.17446270543615677,22.6,
explain_02,explain,2,1024,846,1.0,0.0,26,1.0,0.025390625,0.5703125,0.3206256109481916,0.20703125,0.4115347018572825,0.5313111545988258,464,0.484375,0.23049645390070922,25.636363636363637,
explain_02,explain,3,1024,759,1.0,0.0,286,1.0,0.279296875,0.6884765625,0.5356793743890518,0.2080078125,0.43792766373411535,0.5420743639921722,496,0.8291015625,0.230566534914361,15.489795918367347,
explain_03,explain,0,1024,880,1.0,0.0,0,0.0,1.0,1.0,1.0,0.1953125,0.4398826979472141,0.5704500978473581,580,0.4423828125,0.2375,20.952380952380953,
explain_03,explain,1,1024,904,1.0,0.0,198,1.0,0.193359375,0.5830078125,0.35386119257087,0.09375,0.16617790811339198,0.19667318982387474,285,1.0,0.10398230088495575,21.523809523809526,
explain_03,explain,2,1024,897,1.0,0.0,48,1.0,0.046875,0.603515625,0.3196480938416422,0.1220703125,0.23851417399804498,0.2857142857142857,373,1.0,0.1415830546265329,21.878048780487806,
explain_03,explain,3,1024,844,1.0,0.0,48,1.0,0.046875,0.4716796875,0.22776148582600195,0.2587890625,0.4897360703812317,0.6095890410958904,1024,0.330078125,0.2914691943127962,13.203125,
explain_04,explain,0,1024,870,1.0,0.0,0,0.0,1.0,1.0,1.0,0.142578125,0.27370478983382207,0.3395303326810176,250,0.9384765625,0.15862068965517243,17.058823529411764,
explain_04,explain,1,1024,862,1.0,0.0,1,1.0,0.0009765625,0.474609375,0.30498533724340177,0.224609375,0.4222873900293255,0.5459882583170255,452,0.22265625,0.24361948955916474,10.7875,
explain_04,explain,2,1024,868,1.0,0.0,1,1.0,0.0009765625,0.4736328125,0.30498533724340177,0.2177734375,0.41642228739002934,0.5450097847358122,452,0.177734375,0.23617511520737328,10.46987951807229,
explain_04,explain,3,1024,857,1.0,0.0,1,1.0,0.0009765625,0.626953125,0.3782991202346041,0.1591796875,0.32453567937438904,0.4187866927592955,598,0.880859375,0.18319719953325556,20.951219512195124,
explain_05,explain,0,1024,910,1.0,0.0,0,0.0,1.0,1.0,1.0,0.146484375,0.2844574780058651,0.34148727984344424,442,1.0,0.17032967032967034,24.594594594594593,
explain_05,explain,1,1024,883,1.0,0.0,404,1.0,0.39453125,0.525390625,0.44574780058651026,0.1767578125,0.3460410557184751,0.4344422700587084,1024,0.6015625,0.21064552661381652,11.0375,
explain_05,explain,2,1024,845,1.0,0.0,5,1.0,0.0048828125,0.4619140625,0.16324535679374388,0.119140625,0.2209188660801564,0.28669275929549903,253,0.9150390625,0.14911242603550295,13,
explain_05,explain,3,1024,845,1.0,0.0,5,1.0,0.0048828125,0.4619140625,0.16324535679374388,0.119140625,0.2209188660801564,0.28669275929549903,253,0.9150390625,0.14911242603550295,13,
explain_06,explain,0,1024,905,1.0,0.0,0,0.0,1.0,1.0,1.0,0.123046875,0.2013685239491691,0.22896281800391388,345,0.8623046875,0.13038674033149172,19.25531914893617,
explain_06,explain,1,1024,851,1.0,0.0,115,1.0,0.1123046875,0.5498046875,0.3567937438905181,0.1494140625,0.26588465298142716,0.33072407045009783,348,0.9697265625,0.1762632197414806,12.514705882352942,
